T_name,T_url,Name,Link,Headline
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Julie Sall,,Owner - Sall Associates
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Christopher Herot,,"CEO - SBR Health, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Sean Jacobsohn,,Partner - Norwest Venture Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bill Phelan _øÓŒ¡Ó.è«____,,Co-Founder & CEO - College Factual
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Perry Wu,,Co Founder / Advisor - Motzie Inc.
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rich Tong,,AI and Business Strategy - Xevo Inc.
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike Fish,,Director - BigData4Analytics
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Spottiswood,,"Vice President Business Development, GM Business Loans Group - Lending Club"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jeff Clavier,,Managing Partner - SoftTech VC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Julia Kidd Winterson,,"Director, Investments - Dignity Health"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,George Bischof,,Managing Director - Meritech Capital Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael Kim,,Founder and Managing Partner - Cendana Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Karen Huh,,"Vice President, Product Management & Strategy - Bulletproof 360"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Russ Wilcox,,Partner - Pillar VC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,D'Arcy Young,,Founder - Honeycomb.be
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Erik W. Jansen,,Chairman of the Board and Co-Founder - Ultra Capital LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jon Staenberg,,Founder and El Jefe - Hand of God Wines
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Aaron Ross _Ù_ã,,"Author / Cofounder - Predictable Revenue, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Foulser,,Engineering Manager - Google
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Nicholas Zaldastani,,Co-Chairman - American Academy in Tbilisi
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike Cassidy,,CEO - Apollo Fusion
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Richard Dale,,"COO, OptumLabs - Optum"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Sam Choi,,Portfolio Manager - Paloma Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ben Balbale,,Managing Director - Matrix Capital Management
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Robert Brock,,"Principle - Square One Technology, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Paul Bleicher,,"CEO, Optum Labs - Optum"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bruce Irving,,Vice President Special Operations - LigaData
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bettina Hein,,"Founder & CEO - Pixability, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jarrett Goetz,,"Chief Product Officer - C-4 Analytics, LLC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Norm Wu,,"Chief Executive Officer - i-Human Patients, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Kim Davis King,,Co-Director - StartR
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael Feldman,,"VP, Top Partnerships - LiveRamp"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Salil Pitroda,,Senior Advisor - Francisco Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Peter Shields,,President and CEO - Lavastorm
